Time,X,Y,Z,R,Theta,Phi
0.0,0.02239877983320757,0.0649740386656558,-0.08877749613343443,-0.02092620924943148,0.5382243081122087,-0.40398860242607426
0.005,-0.0017782201667923185,0.06623503866565576,-0.09912049613343443,0.0032387907505685132,0.6012743081121985,-0.4016386024260673
0.01,-0.001776220166792038,0.05426203866565575,-0.09423349613343446,0.0024467907505679436,0.5717783081122039,-0.3295716024260916
0.015,0.012769779833207243,0.05425003866565575,-0.08372049613343444,-0.012019209249430812,0.5079203081122077,-0.33537060242608774
0.02,-0.03076522016679309,0.06632603866565584,-0.10816549613343446,0.032137790750567635,0.6562743081122053,-0.39030160242609824
0.025,-0.021211220166793464,0.05065903866565585,-0.11181649613343445,0.021545790750568585,0.6780943081122106,-0.300122602426092
0.03,-0.021070220166792407,0.04356603866565572,-0.09259049613343445,0.020997790750568374,0.5623333081122044,-0.2575656024260756
0.035,-0.0032772201667931227,0.05048303866565578,-0.12772949613343443,0.0036177907505690853,0.7738353081122002,-0.306225602426088
0.04,0.0013237798332078425,0.04313403866565585,-0.15052649613343444,-0.0014412092494301722,0.9113933081122129,-0.2638216024260832
0.045,-0.0034352201667938913,0.05517003866565578,-0.14813449613343443,0.004101790750567462,0.8969053081122129,-0.33437860242609124
0.05,-0.022294220166792965,0.053138038665655744,-0.0986334961334344,0.02282779075056836,0.5987643081122118,-0.31457260242607427
0.055,-0.02368522016679289,0.026679038665655734,-0.11038449613343446,0.02245779075056816,0.6694883081122103,-0.15510260242607543
0.06,-0.06107222016679362,0.014860038665655818,-0.1107904961334344,0.0590237907505687,0.6724253081121989,-0.07006560242607565
0.065,-0.044381220166792044,0.04100803866565577,-0.14126649613343442,0.04401379075056853,0.8552493081122097,-0.23305960242610171
0.07,-0.06215722016679339,0.03649703866565583,-0.1049484961334344,0.06149379075056757,0.6374293081122064,-0.19912460242608784
0.075,-0.07750622016679212,0.03797403866565578,-0.06872249613343442,0.07707779075056984,0.42087730811221347,-0.20200860242608243
0.08,-0.06642922016679366,0.04166503866565578,-0.04259549613343442,0.06647279075056808,0.2639023081122107,-0.22837560242607577
0.085,-0.03768722016679251,0.012677038665655773,-0.05129449613343442,0.035866790750569276,0.3144693081122117,-0.06573160242610397
0.09,-0.04007322016679207,0.03545403866565583,-0.05741949613343441,0.03964279075056951,0.351472308112196,-0.20144360242608783
0.095,-0.013223220166792464,0.015195038665655795,-0.008631496133434429,0.01206679075056968,0.056153308112203884,-0.09005460242608519
0.1,-0.048107220166794154,0.007016038665655746,0.00047350386656558796,0.046495790750569053,0.004167308112204464,-0.02790560242608008
0.105,-0.04819222016679272,0.03450203866565587,-0.020111496133434412,0.04804779075056928,0.12788530811220114,-0.19257860242607347
0.11,-0.059088220166793416,-0.0049949613343442485,-0.011210496133434427,0.056567790750568246,0.07509030811221208,0.04805239757390569
0.115,-0.021910220166794357,-0.03641896133434415,-0.018850496133434404,0.017516790750569413,0.1181273081122103,0.22348339757393734
0.12,-0.06621422016679292,-0.021658961334344258,0.007027503866565593,0.06294079075056822,-0.03375869188779434,0.15034739757390372
0.125,-0.06991222016679291,-0.02528696133434422,-0.0012634961334344287,0.06630179075056818,0.01622130811219648,0.17334239757391248
0.13,-0.02043422016679233,-0.018286961334344216,0.006144503866565568,0.017428790750569547,-0.03243069188779344,0.1139403975739067
0.135,-0.03751122016679278,-0.02432796133434418,-0.016256496133434436,0.03382079075056929,0.10370030811219834,0.15628339757392345
0.14,-0.04688022016679407,-0.03967396133434415,0.021186503866565568,0.04281879075056758,-0.12057369188779578,0.25158939757391713
0.145,0.006199779833207278,-0.0326989613343442,0.027329503866565578,-0.009666209249431434,-0.16277969188778882,0.1913483975739265
0.15,-0.008572220166793394,-0.04361096133434423,-0.0058624961334344215,0.003957790750568649,0.03881230811220206,0.26219439757391527
0.155,-0.03472022016679257,-0.061212961334344236,0.04269750386656557,0.029852790750568868,-0.25123469188779923,0.3768183975739073
0.16,0.031723779833208045,-0.06620396133434421,0.06665850386656558,-0.03628020924943179,-0.40374569188778914,0.3850583975739365
0.165,0.030107779833207768,-0.09280796133434424,0.028549503866565577,-0.03679920924943062,-0.17293369188778882,0.546511397573931
0.17,0.0017437798332079293,-0.08153396133434422,0.08890950386656554,-0.006677209249431966,-0.534368691887789,0.4873533975739061
0.17500000000000002,0.030520779833205985,-0.0494319613343442,0.0605585038665656,-0.03427820924943262,-0.36653769188779656,0.28401439757390634
0.18,0.0017827798332071634,-0.06953396133434427,0.08881450386656554,-0.0060802092494311195,-0.5337126918877968,0.4149653975739166
0.185,0.0027227798332071047,-0.11401696133434426,0.0747645038665656,-0.00962620924943117,-0.4493316918877892,0.6830013975739117
0.19,-0.06312922016679424,-0.0930759613343443,0.11418050386656557,0.05811179075056913,-0.6769086918877858,0.5769683975739152
0.195,-0.016307220166793666,-0.08622296133434416,0.09287850386656554,0.011191790750569057,-0.5557846918877911,0.5213043975739079
0.2,-0.017031220166791837,-0.08231296133434424,0.1479855038665656,0.01358179075056917,-0.8875866918878015,0.4979883975739139
0.20500000000000002,-0.0343872201667931,-0.07775996133434422,0.08835750386656555,0.029578790750567876,-0.5259686918877944,0.4761073975739346
0.21,-0.02106122016679382,-0.09813196133434422,0.10504450386656558,0.015621790750568326,-0.6284626918878016,0.5944543975739346
0.215,-0.012562220166793332,-0.0993279613343442,0.11328250386656555,0.007284790750569174,-0.6794036918877961,0.5990623975738966
0.22,-0.03055022016679234,-0.11594996133434421,0.12932750386656558,0.024845790750568003,-0.773260691887796,0.7044853975739267
0.225,-0.004083220166793874,-0.10652296133434418,0.12156850386656558,-0.0013252092494299454,-0.7307646918877961,0.6398493975739196
0.23,-0.015867220166792557,-0.07635896133434425,0.1407275038665656,0.012523790750568722,-0.8440236918877955,0.4617793975739285
0.23500000000000001,-0.007917220166793321,-0.1282029613343442,0.10383450386656555,0.0009897907505694557,-0.6233656918877952,0.7716703975739216
0.24,0.03166277983320751,-0.1452729613343442,0.0900465038665656,-0.03966820924943107,-0.5459126918877898,0.8635743975739213
0.245,-0.011924220166792973,-0.10449096133434424,0.04860150386656559,0.004937790750568854,-0.2895946918877965,0.6299623975738992
0.25,0.032490779833207785,-0.09762596133434427,0.02734450386656557,-0.039447209249431264,-0.1659076918877926,0.5749233975739055
0.255,0.03402177983320773,-0.14172496133434423,0.08278450386656555,-0.04202820924943232,-0.5022266918877957,0.8414333975739164
0.26,0.004102779833206375,-0.11630296133434422,0.09632750386656555,-0.010621209249430807,-0.5797406918878036,0.6963983975739093
0.265,0.0328317798332066,-0.12135296133434421,0.07665550386656556,-0.04000920924943167,-0.4648046918877892,0.7184323975739285
0.27,0.0289147798332071,-0.15266496133434418,0.05300650386656559,-0.038058209249431624,-0.3212496918877972,0.909091397573911
0.275,0.001028779833206576,-0.10474896133434418,0.01360850386656557,-0.008612209249431544,-0.07980169188779172,0.6275963975739042
0.28,-0.005489220166793226,-0.10305596133434414,0.09640250386656554,-0.0003852092494317807,-0.5787106918877893,0.6193723975739199
